company_id,metric_type,period_years,value_pct
ABB,Sales CAGR,5,9.72
ABB,Profit CAGR,5,21.69
ADANIENSOL,Sales CAGR,5,17.85
ADANIENSOL,Profit CAGR,5,16.43
ADANIENT,Sales CAGR,5,19.02
ADANIENT,Profit CAGR,5,45.81
ADANIGREEN,Sales CAGR,5,34.98
ADANIPORTS,Sales CAGR,5,24.91
ADANIPORTS,Profit CAGR,5,27.91
ADANIPOWER,Sales CAGR,5,16.09
AMBUJACEM,Sales CAGR,5,4.11
AMBUJACEM,Profit CAGR,5,8.08
APOLLOHOSP,Sales CAGR,5,14.66
APOLLOHOSP,Profit CAGR,5,36.13
ASIANPAINT,Sales CAGR,5,13.03
ASIANPAINT,Profit CAGR,5,20.28
ATGL,Sales CAGR,5,21.09
ATGL,Profit CAGR,5,23.88
AXISBANK,Sales CAGR,5,14.74
AXISBANK,Profit CAGR,5,39.67
BAJAJ-AUTO,Sales CAGR,5,8.13
BAJAJ-AUTO,Profit CAGR,5,9.36
BAJAJFINSV,Sales CAGR,5,20.97
BAJAJFINSV,Profit CAGR,5,23.75
BAJAJHLDNG,Sales CAGR,5,31.61
BAJAJHLDNG,Profit CAGR,5,19.3
BAJFINANCE,Sales CAGR,5,24.35
BAJFINANCE,Profit CAGR,5,29.32
BANKBARODA,Sales CAGR,5,17.48
BANKBARODA,Profit CAGR,5,74.51
BEL,Sales CAGR,5,10.75
BEL,Profit CAGR,5,16.13
BHARTIARTL,Sales CAGR,5,13.17
BHARTIARTL,Profit CAGR,5,38.36
BHEL,Sales CAGR,5,-4.73
BHEL,Profit CAGR,5,-22.4
BOSCHLTD,Sales CAGR,5,6.72
BOSCHLTD,Profit CAGR,5,9.28
BPCL,Sales CAGR,5,8.48
BPCL,Profit CAGR,5,25.79
BRITANNIA,Sales CAGR,5,8.69
BRITANNIA,Profit CAGR,5,13.06
CANBK,Sales CAGR,5,18.18
CANBK,Profit CAGR,5,85.78
CHOLAFIN,Sales CAGR,5,21.94
CHOLAFIN,Profit CAGR,5,23.36
CIPLA,Sales CAGR,5,9.51
CIPLA,Profit CAGR,5,22.73
COALINDIA,Sales CAGR,5,7.4
COALINDIA,Profit CAGR,5,16.43
DABUR,Sales CAGR,5,7.81
DABUR,Profit CAGR,5,4.6
DIVISLAB,Sales CAGR,5,9.66
DIVISLAB,Profit CAGR,5,3.41
DLF,Sales CAGR,5,-5.14
DLF,Profit CAGR,5,15.7
DMART,Sales CAGR,5,20.48
DMART,Profit CAGR,5,22.97
DRREDDY,Sales CAGR,5,12.64
DRREDDY,Profit CAGR,5,23.39
EICHERMOT,Sales CAGR,5,11.04
EICHERMOT,Profit CAGR,5,12.68
GAIL,Sales CAGR,5,11.83
GAIL,Profit CAGR,5,8.61
GODREJCP,Sales CAGR,5,6.45
GRASIM,Sales CAGR,5,11.15
GRASIM,Profit CAGR,5,29.31
HAL,Sales CAGR,5,8.71
HAL,Profit CAGR,5,26.49
HAVELLS,Sales CAGR,5,13.04
HAVELLS,Profit CAGR,5,10.03
HCLTECH,Sales CAGR,5,12.71
HCLTECH,Profit CAGR,5,9.19
HDFCBANK,Sales CAGR,5,21.95
HDFCBANK,Profit CAGR,5,23.87
HDFCLIFE,Sales CAGR,5,21.17
HDFCLIFE,Profit CAGR,5,4.25
HEROMOTOCO,Sales CAGR,5,2.15
HEROMOTOCO,Profit CAGR,5,1.54
HINDALCO,Sales CAGR,5,10.59
HINDALCO,Profit CAGR,5,13.07
HINDUNILVR,Sales CAGR,5,9.5
HINDUNILVR,Profit CAGR,5,11.15
ICICIBANK,Sales CAGR,5,17.25
ICICIBANK,Profit CAGR,5,51.95
ICICIGI,Sales CAGR,5,12.91
ICICIGI,Profit CAGR,5,12.84
ICICIPRULI,Sales CAGR,5,16.85
ICICIPRULI,Profit CAGR,5,-5.66
INDIGO,Sales CAGR,5,19.31
INDIGO,Profit CAGR,5,120.69
INDUSINDBK,Sales CAGR,5,15.5
INDUSINDBK,Profit CAGR,5,22.08
INFY,Sales CAGR,5,13.2
INFY,Profit CAGR,5,11.24
IOC,Sales CAGR,5,8.01
IOC,Profit CAGR,5,20.1
IRCTC,Sales CAGR,5,17.96
IRCTC,Profit CAGR,5,29.17
IRFC,Sales CAGR,5,19.07
IRFC,Profit CAGR,5,23.25
ITC,Sales CAGR,5,7.95
ITC,Profit CAGR,5,10.08
JINDALSTEL,Sales CAGR,5,1.4
JSWENERGY,Sales CAGR,5,4.68
JSWENERGY,Profit CAGR,5,20.32
JSWSTEEL,Sales CAGR,5,15.6
JSWSTEEL,Profit CAGR,5,3.59
KOTAKBANK,Sales CAGR,5,13.52
KOTAKBANK,Profit CAGR,5,20.38
LICI,Sales CAGR,5,8.16
LICI,Profit CAGR,5,73.18
LODHA,Sales CAGR,5,-2.83
LODHA,Profit CAGR,5,-1.12
LT,Sales CAGR,5,10.34
LT,Profit CAGR,5,8.76
LTIM,Sales CAGR,5,30.33
LTIM,Profit CAGR,5,24.78
M&M,Sales CAGR,5,5.84
M&M,Profit CAGR,5,15.32
MARUTI,Sales CAGR,5,10.51
MARUTI,Profit CAGR,5,12.01
MOTHERSON,Sales CAGR,5,9.21
MOTHERSON,Profit CAGR,5,7.56
NAUKRI,Sales CAGR,5,17.12
NAUKRI,Profit CAGR,5,0.1
NESTLEIND,Sales CAGR,5,14.55
NESTLEIND,Profit CAGR,5,14.85
NHPC,Sales CAGR,5,1.4
NHPC,Profit CAGR,5,7.27
NTPC,Sales CAGR,5,12.22
NTPC,Profit CAGR,5,8.74
