company_id,return_on_equity_pct,debt_to_equity,operating_profit_margin_pct,free_cash_flow_cr,compounded_sales_growth,broad_sector,cluster
ABB,32.47,0.0224,25.0,1095.0,9.72,Industrials,1
ADANIENSOL,9.46,2.9325,30.0,1095.0,17.85,Energy,3
ADANIENT,8.53,1.6714,12.0,-8455.0,19.02,Industrials,3
ADANIGREEN,12.81,6.5953,79.0,-13347.0,34.98,Energy,2
ADANIPORTS,15.35,0.9373,58.0,8250.0,24.91,Industrials,4
ADANIPOWER,48.28,0.8023,36.0,17651.0,16.09,Energy,1
AMBUJACEM,11.43,0.0169,19.0,-3295.0,4.11,Materials,3
APOLLOHOSP,13.48,0.7689,13.0,383.0,14.66,Healthcare,3
ASIANPAINT,29.68,0.1321,21.0,3556.0,13.03,Materials,1
BAJAJ-AUTO,26.61,0.066,20.0,6486.0,8.13,Consumer Discretionary,3
BAJAJFINSV,25.85,4.7894,37.0,-79634.0,20.97,Financials,0
BAJAJHLDNG,13.58,0.0012,92.0,1469.0,31.61,Financials,4
BHARTIARTL,10.36,2.6095,52.0,27809.0,13.17,Communication Services,4
BHEL,1.15,0.3624,3.0,-2382.0,-4.73,Industrials,3
BOSCHLTD,20.64,0.0032,13.0,1536.0,6.72,Consumer Discretionary,3
BPCL,35.51000000000001,0.7219,10.0,25415.0,8.48,Energy,1
BRITANNIA,54.15,0.524,19.0,3050.0,8.69,Consumer Staples,1
DABUR,18.36,0.1384,19.0,1042.0,7.81,Consumer Staples,3
DIVISLAB,11.79,0.0002,28.0,992.0,9.66,Healthcare,3
DLF,6.909999999999999,0.1226,33.0,1010.0,-5.14,Real Estate,3
DMART,13.56,0.0317,8.0,278.0,20.48,Consumer Discretionary,3
DRREDDY,19.74,0.0709,28.0,509.0,12.64,Healthcare,3
EICHERMOT,22.17,0.0232,26.0,890.0,11.04,Consumer Discretionary,3
GAIL,12.86,0.283,11.0,4360.0,11.83,Energy,3
GODREJCP,-4.45,0.2558,21.0,-1365.0,6.45,Consumer Staples,3
GRASIM,11.2,1.5471,21.0,-33833.0,11.15,Industrials,3
HAVELLS,17.07,0.0407,10.0,335.0,13.04,Industrials,3
HCLTECH,23.01,0.0844,22.0,15840.0,12.71,Information Technology,3
INFY,29.79,0.0949,24.0,20117.0,13.2,Information Technology,1
IOC,23.53,0.7231,10.0,39635.0,8.01,Energy,3
IRCTC,34.4,0.0186,34.0,667.0,17.96,Consumer Discretionary,1
IRFC,13.04,8.3784,100.0,7906.0,19.07,Financials,2
ITC,27.85,0.0041,37.0,18742.0,7.95,Consumer Staples,3
JINDALSTEL,13.41,0.3717,20.0,-2336.0,1.4,Materials,3
JIOFIN,1.15,0.0,84.0,763.0,,Financials,4
JSWENERGY,8.28,1.5156,47.0,-1963.0,4.68,Energy,3
JSWSTEEL,11.55,1.1328,16.0,-2389.0,15.6,Materials,3
LICI,49.45,0.0,4.0,853.0,8.16,Financials,1
LODHA,8.9,0.4407,26.0,-435.0,-2.83,Real Estate,3
LT,77.66999999999999,0.1035,14.0,20445.0,10.34,Industrials,1
LTIM,22.9,0.1035,18.0,1752.0,30.33,Information Technology,1
M&M,18.54,1.6414,18.0,-11245.0,5.84,Consumer Discretionary,3
MARUTI,15.75,0.0014,13.0,4936.0,10.51,Consumer Discretionary,3
MOTHERSON,11.55,0.7617,9.0,925.0,9.21,Consumer Discretionary,3
NAUKRI,1.97,0.0081,28.0,-150.0,17.12,Communication Services,3
NHPC,10.41,0.8413,50.0,970.0,1.4,Energy,3
NTPC,13.27,1.4755,29.0,8644.0,12.22,Energy,3
ONGC,16.94,0.4544,17.0,42060.0,7.0,Energy,3
PFC,26.16,8.5219,37.0,-101229.0,11.08,Financials,0
PIDILITIND,20.78,0.0454,22.0,955.0,11.84,Materials,3
POWERGRID,17.87,1.4173,87.0,24176.0,5.51,Energy,4
RELIANCE,9.959999999999999,0.5785,18.0,45207.0,9.61,Energy,3
SBILIFE,12.7,0.0,0.0,-2099.0,24.23,Financials,3
SHREECEM,8.37,0.08,22.0,1929.0,10.33,Materials,3
SHRIRAMFIN,15.12,3.994,29.0,-31359.0,18.56,Financials,0
SIEMENS,17.7,0.0182,14.0,1168.0,11.19,Industrials,3
SUNPHARMA,15.09,0.0514,28.0,11372.0,10.78,Healthcare,3
TATACONSUM,7.57,0.2165,15.0,26.0,15.96,Consumer Staples,3
TATAMOTORS,37.46,1.2631,14.0,45133.0,7.72,Consumer Discretionary,1
TATAPOWER,13.23,1.6593,17.0,3569.0,15.51,Energy,3
TATASTEEL,-5.33,0.9462,10.0,6048.0,7.77,Materials,3
TCS,50.94,0.0886,27.0,50429.0,10.46,Information Technology,1
TECHM,8.99,0.0951,9.0,5058.0,8.4,Information Technology,3
TITAN,37.22,1.6531,10.0,1506.0,20.9,Consumer Discretionary,1
TORNTPHARM,24.15,0.5866,31.0,3106.0,6.93,Healthcare,3
TRENT,36.31,0.4309,16.0,841.0,36.31,Consumer Discretionary,1
TVSMOTOR,26.22,3.8334,14.0,-2254.0,14.19,Consumer Discretionary,3
