id_x,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,id_y,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover
61,ABB,Dec 2012,1653,1451,202.0,12.0,33,0,19,215,33.0,145,68.0,25.0,136,21.0,626,0,260,907,109,1,0,798,907,8.771929824561402,12.220205686630369,22.411128284389488,0.0,,1.8204845814977975
62,ABB,Mar 2014,2276,2009,267.0,12.0,49,0,22,295,33.0,198,93.0,25.0,137,21.0,767,0,351,1139,98,1,0,1040,1139,8.699472759226714,11.731107205623902,25.12690355329949,0.0,,1.9982440737489024
63,ABB,Mar 2015,2289,1977,312.0,14.0,48,0,15,344,34.0,229,108.0,29.0,138,21.0,916,0,436,1374,96,4,0,1274,1374,10.004368719965049,13.630406290956751,24.439701173959445,0.0,,1.665938864628821
64,ABB,Mar 2016,2614,2250,365.0,14.0,50,3,14,398,36.0,255,120.0,29.0,139,21.0,1174,0,421,1616,108,3,0,1505,1616,9.755164498852334,13.963274674827849,21.338912133891213,0.0,138.33333333333334,1.6175742574257426
65,ABB,Mar 2017,2903,2505,398.0,14.0,57,2,16,436,37.0,277,130.0,31.0,140,21.0,1366,0,679,2066,110,6,0,1950,2066,9.541853255253187,13.709955218739237,19.971160778658977,0.0,227.5,1.40513068731849
66,ABB,Mar 2018,3298,2774,525.0,16.0,117,4,16,621,35.0,401,189.0,29.0,141,21.0,1672,0,723,2416,81,2,0,2333,2416,12.15888417222559,15.918738629472406,23.685764914353218,0.0,160.5,1.365066225165563
67,ABB,Mar 2019,3679,3074,605.0,16.0,113,2,17,699,36.0,450,212.0,31.0,142,21.0,1987,0,932,2941,105,1,0,2835,2941,12.231584669747214,16.444686055993476,22.410358565737052,0.0,359.0,1.2509350561033663
68,ABB,Mar 2020,4093,3336,757.0,18.0,114,9,60,803,26.0,593,279.0,90.0,143,21.0,2410,175,940,3547,270,2,0,3275,3547,14.488150500855118,18.49499144881505,24.39325380501851,0.07198683669271905,96.77777777777777,1.153932901043135
69,ABB,Mar 2021,4310,3388,922.0,21.0,81,18,58,926,25.0,691,325.0,85.0,144,21.0,2581,153,1086,3840,251,1,0,3589,3840,16.03248259860789,21.392111368909514,26.5564950038432,0.058800922367409685,55.72222222222222,1.122103618849258
70,ABB,Mar 2022,4913,3832,1082.0,22.0,83,19,66,1080,26.0,799,376.0,73.0,145,21.0,2799,152,1253,4224,271,1,0,3952,4224,16.26297577854671,22.023203745165887,28.333333333333332,0.05390070921985816,61.31578947368421,1.1631155303030303
