company_id,metric_type,original_text
ABB,compounded_sales_growth,9.72
ABB,compounded_profit_growth,21.69
ADANIENSOL,compounded_sales_growth,17.85
ADANIENSOL,compounded_profit_growth,16.43
ADANIENT,compounded_sales_growth,19.02
ADANIENT,compounded_profit_growth,45.81
ADANIGREEN,compounded_sales_growth,34.98
ADANIPORTS,compounded_sales_growth,24.91
ADANIPORTS,compounded_profit_growth,27.91
ADANIPOWER,compounded_sales_growth,16.09
AMBUJACEM,compounded_sales_growth,4.11
AMBUJACEM,compounded_profit_growth,8.08
APOLLOHOSP,compounded_sales_growth,14.66
APOLLOHOSP,compounded_profit_growth,36.13
ASIANPAINT,compounded_sales_growth,13.03
ASIANPAINT,compounded_profit_growth,20.28
ATGL,compounded_sales_growth,21.09
ATGL,compounded_profit_growth,23.88
AXISBANK,compounded_sales_growth,14.74
AXISBANK,compounded_profit_growth,39.67
BAJAJ-AUTO,compounded_sales_growth,8.13
BAJAJ-AUTO,compounded_profit_growth,9.36
BAJAJFINSV,compounded_sales_growth,20.97
BAJAJFINSV,compounded_profit_growth,23.75
BAJAJHLDNG,compounded_sales_growth,31.61
BAJAJHLDNG,compounded_profit_growth,19.3
BAJFINANCE,compounded_sales_growth,24.35
BAJFINANCE,compounded_profit_growth,29.32
BANKBARODA,compounded_sales_growth,17.48
BANKBARODA,compounded_profit_growth,74.51
BEL,compounded_sales_growth,10.75
BEL,compounded_profit_growth,16.13
BHARTIARTL,compounded_sales_growth,13.17
BHARTIARTL,compounded_profit_growth,38.36
BHEL,compounded_sales_growth,-4.73
BHEL,compounded_profit_growth,-22.4
BOSCHLTD,compounded_sales_growth,6.72
BOSCHLTD,compounded_profit_growth,9.28
BPCL,compounded_sales_growth,8.48
BPCL,compounded_profit_growth,25.79
BRITANNIA,compounded_sales_growth,8.69
BRITANNIA,compounded_profit_growth,13.06
CANBK,compounded_sales_growth,18.18
CANBK,compounded_profit_growth,85.78
CHOLAFIN,compounded_sales_growth,21.94
CHOLAFIN,compounded_profit_growth,23.36
CIPLA,compounded_sales_growth,9.51
CIPLA,compounded_profit_growth,22.73
COALINDIA,compounded_sales_growth,7.4
COALINDIA,compounded_profit_growth,16.43
DABUR,compounded_sales_growth,7.81
DABUR,compounded_profit_growth,4.6
DIVISLAB,compounded_sales_growth,9.66
DIVISLAB,compounded_profit_growth,3.41
DLF,compounded_sales_growth,-5.14
DLF,compounded_profit_growth,15.7
DMART,compounded_sales_growth,20.48
DMART,compounded_profit_growth,22.97
DRREDDY,compounded_sales_growth,12.64
DRREDDY,compounded_profit_growth,23.39
EICHERMOT,compounded_sales_growth,11.04
EICHERMOT,compounded_profit_growth,12.68
GAIL,compounded_sales_growth,11.83
GAIL,compounded_profit_growth,8.61
GODREJCP,compounded_sales_growth,6.45
GRASIM,compounded_sales_growth,11.15
GRASIM,compounded_profit_growth,29.31
HAL,compounded_sales_growth,8.71
HAL,compounded_profit_growth,26.49
HAVELLS,compounded_sales_growth,13.04
HAVELLS,compounded_profit_growth,10.03
HCLTECH,compounded_sales_growth,12.71
HCLTECH,compounded_profit_growth,9.19
HDFCBANK,compounded_sales_growth,21.95
HDFCBANK,compounded_profit_growth,23.87
HDFCLIFE,compounded_sales_growth,21.17
HDFCLIFE,compounded_profit_growth,4.25
HEROMOTOCO,compounded_sales_growth,2.15
HEROMOTOCO,compounded_profit_growth,1.54
HINDALCO,compounded_sales_growth,10.59
HINDALCO,compounded_profit_growth,13.07
HINDUNILVR,compounded_sales_growth,9.5
HINDUNILVR,compounded_profit_growth,11.15
ICICIBANK,compounded_sales_growth,17.25
ICICIBANK,compounded_profit_growth,51.95
ICICIGI,compounded_sales_growth,12.91
