company_id,latest_pattern,previous_pattern
ABB,Cash Generator,Unknown
ADANIENSOL,Cash Generator,Unknown
ADANIENT,Cash Generator,Unknown
ADANIGREEN,Cash Generator,Unknown
ADANIPORTS,Cash Generator,Unknown
ADANIPOWER,Cash Generator,Unknown
AMBUJACEM,Cash Generator,Unknown
APOLLOHOSP,Cash Generator,Unknown
ASIANPAINT,Cash Generator,Unknown
BAJAJ-AUTO,Cash Generator,Unknown
AXISBANK,Cash Generator,Unknown
BAJAJFINSV,Distress Signal,Unknown
BAJAJHLDNG,Cash Generator,Unknown
BAJFINANCE,Distress Signal,Unknown
BANKBARODA,Distress Signal,Unknown
BHARTIARTL,Cash Generator,Unknown
BEL,Cash Generator,Unknown
BHEL,Distress Signal,Unknown
BOSCHLTD,Cash Generator,Unknown
BPCL,Cash Generator,Unknown
BRITANNIA,Cash Generator,Unknown
CANBK,Cash Generator,Unknown
CHOLAFIN,Distress Signal,Unknown
CIPLA,Cash Generator,Unknown
COALINDIA,Cash Generator,Unknown
DABUR,Cash Generator,Unknown
DIVISLAB,Cash Generator,Unknown
DLF,Cash Generator,Unknown
DMART,Cash Generator,Unknown
DRREDDY,Cash Generator,Unknown
EICHERMOT,Cash Generator,Unknown
GAIL,Cash Generator,Unknown
GODREJCP,Cash Generator,Unknown
GRASIM,Cash Generator,Unknown
HAL,Cash Generator,Unknown
HAVELLS,Cash Generator,Unknown
HCLTECH,Cash Generator,Unknown
HDFCBANK,Cash Generator,Unknown
HDFCLIFE,Cash Generator,Unknown
HEROMOTOCO,Cash Generator,Unknown
HINDALCO,Cash Generator,Unknown
HINDUNILVR,Cash Generator,Unknown
ICICIBANK,Cash Generator,Unknown
ICICIGI,Cash Generator,Unknown
ICICIPRULI,Cash Generator,Unknown
INDUSINDBK,Distress Signal,Unknown
INFY,Cash Generator,Unknown
IOC,Cash Generator,Unknown
IRCTC,Cash Generator,Unknown
IRFC,Cash Generator,Unknown
ITC,Cash Generator,Unknown
JINDALSTEL,Cash Generator,Unknown
JIOFIN,Cash Generator,Unknown
JSWENERGY,Cash Generator,Unknown
JSWSTEEL,Cash Generator,Unknown
KOTAKBANK,Cash Generator,Unknown
LICI,Cash Generator,Unknown
LODHA,Cash Generator,Unknown
LT,Cash Generator,Unknown
LTIM,Cash Generator,Unknown
M&M,Distress Signal,Unknown
MARUTI,Cash Generator,Unknown
MOTHERSON,Cash Generator,Unknown
NAUKRI,Cash Generator,Unknown
NESTLEIND,Cash Generator,Unknown
NHPC,Cash Generator,Unknown
NTPC,Cash Generator,Unknown
ONGC,Cash Generator,Unknown
PFC,Distress Signal,Unknown
PIDILITIND,Cash Generator,Unknown
PNB,Distress Signal,Unknown
POWERGRID,Cash Generator,Unknown
RECLTD,Distress Signal,Unknown
RELIANCE,Cash Generator,Unknown
SBILIFE,Cash Generator,Unknown
SHREECEM,Cash Generator,Unknown
SHRIRAMFIN,Distress Signal,Unknown
SUNPHARMA,Cash Generator,Unknown
TATACONSUM,Cash Generator,Unknown
TATAMOTORS,Cash Generator,Unknown
TATAPOWER,Cash Generator,Unknown
TATASTEEL,Cash Generator,Unknown
TCS,Cash Generator,Unknown
TECHM,Cash Generator,Unknown
TITAN,Cash Generator,Unknown
TORNTPHARM,Cash Generator,Unknown
TRENT,Cash Generator,Unknown
TVSMOTOR,Distress Signal,Unknown
INDIGO,Cash Generator,Unknown
