company_id,broad_sector,market_cap_crore,pe_ratio,pb_ratio,ev_ebitda,FCF_yield_pct,sector_median_pe,flag
NHPC,Energy,1740404.25,71.17,13.74,18.26,0.05573417784977254,44.915,Caution
NTPC,Energy,907823.11,30.8,5.24,37.12,0.9521678733206076,44.915,Discount
DRREDDY,Healthcare,2441803.28,11.73,10.19,14.56,0.020845250072724943,47.06,Discount
GAIL,Energy,1531867.57,25.84,9.54,33.07,0.28461990353382827,44.915,Discount
ONGC,Energy,390111.05,18.15,10.36,11.72,10.781545408672736,44.915,Discount
MOTHERSON,Consumer Discretionary,146151.16,9.54,2.38,33.39,0.6329063689949501,38.005,Discount
NAUKRI,Communication Services,563824.44,32.88,8.33,11.87,-0.026604025891463663,48.33,Discount
ICICIPRULI,Financials,1596987.55,20.83,12.38,22.57,0.006574879059013327,34.24,Discount
IOC,Energy,1418164.33,28.61,4.24,33.71,2.794810104975634,44.915,Discount
IRCTC,Consumer Discretionary,1258520.29,60.44,5.74,32.47,0.05299874823631171,38.005,Caution
IRFC,Financials,2618348.58,9.81,3.91,16.66,0.3019460457018293,34.24,Discount
INDUSINDBK,Financials,1807433.12,8.99,3.7,28.79,-0.9664534641259643,34.24,Discount
INFY,Information Technology,1112279.92,35.99,8.97,36.7,1.808627454139422,63.63,Discount
INDIGO,Consumer Discretionary,1040632.92,76.23,7.87,24.64,0.9056027172386589,38.005,Caution
LT,Industrials,1124597.5,30.8,2.48,16.63,1.8179837675257147,47.155,Discount
ABB,Industrials,1536236.24,75.58,4.48,12.63,0.07127809977975783,47.155,Caution
TITAN,Consumer Discretionary,1793769.72,10.13,10.51,21.0,0.0839572651499547,38.005,Discount
JSWENERGY,Energy,110870.53,24.79,9.88,35.95,-1.7705336124937798,44.915,Discount
MARUTI,Consumer Discretionary,1503863.63,20.78,8.26,29.97,0.3282212496887102,38.005,Discount
M&M,Consumer Discretionary,4173085.48,14.22,0.81,29.08,-0.2694648852484086,38.005,Discount
TRENT,Consumer Discretionary,571322.04,8.65,11.82,34.65,0.14720244295143942,38.005,Discount
SHREECEM,Materials,3154358.33,25.87,1.21,26.58,0.06115348347250073,55.62,Discount
SHRIRAMFIN,Financials,868933.47,68.53,7.91,28.82,-3.608906905151208,34.24,Caution
COALINDIA,Materials,454024.84,34.27,14.75,25.15,2.9991751112119767,55.62,Discount
CHOLAFIN,Financials,971931.96,16.79,10.36,13.52,-3.9650923712808046,34.24,Discount
DMART,Consumer Discretionary,3053088.97,72.53,11.71,36.84,0.00910553222430331,38.005,Caution
PNB,Financials,1825925.6,19.29,10.91,23.64,-1.6126067787208855,34.24,Discount
SBIN,Financials,2400436.05,54.93,2.72,21.53,,34.24,Caution
SBILIFE,Financials,886097.71,69.98,9.48,31.04,-0.23688132542403253,34.24,Caution
PIDILITIND,Materials,162274.18,36.12,12.3,5.36,0.588510137595519,55.62,Discount
HINDUNILVR,Consumer Staples,548890.59,34.51,11.88,7.52,1.8482736240750641,50.95,Discount
GODREJCP,Consumer Staples,1327797.2,33.59,8.07,23.55,-0.10280184353453976,50.95,Discount
GRASIM,Industrials,478951.82,79.35,5.68,15.23,-7.063967310949983,47.155,Caution
HAL,Industrials,2643616.86,71.89,3.65,8.76,0.06861811283803056,47.155,Caution
EICHERMOT,Consumer Discretionary,222391.83,15.62,13.61,19.29,0.4001945575069012,38.005,Discount
BEL,Industrials,1354781.06,17.89,9.22,23.14,-0.09337302073000636,47.155,Discount
BAJFINANCE,Financials,2473271.58,69.2,4.11,15.96,-3.2317922805711454,34.24,Caution
TATAMOTORS,Consumer Discretionary,1504106.64,67.07,0.93,15.35,3.000651602734764,38.005,Caution
TATAPOWER,Energy,1647269.48,14.5,3.48,12.02,0.2166615750083587,44.915,Discount
BAJAJFINSV,Financials,1905112.17,15.07,6.08,39.72,-4.180016339930263,34.24,Discount
BHEL,Industrials,540053.85,29.8,11.43,21.59,-0.4410671269170658,47.155,Discount
BPCL,Energy,468662.13,68.15,0.72,26.59,5.422883218663305,44.915,Caution
BOSCHLTD,Consumer Discretionary,2599556.05,58.43,6.47,16.07,0.05908701218425355,38.005,Caution
BANKBARODA,Financials,590971.02,16.89,4.15,24.7,-1.279081332956056,34.24,Discount
